year	Nov	    Dec	    Jan	    Q1	    Feb		Mar		Apr	    Q2	    May	    Jun	    Jul	    Q3	    Aug	    Sep		Oct		Q4	    Total
2017/18	2,480	3,918	4,436	10,834	4,806	7,068	7,774	19,648	13,115	12,512	54,828	80,455	54,933	NA		NA		54,933	165,870
2016/17	1,239	1,689	2,444	5,372	3,266	5,433	5,136	13,834	7,550	14,372	43,110	65,031	42,323	16,488	16,747	75,558	159,795
2015/16	1,415	2,158	2,575	6,147	2,984	3,415	4,133	10,532	3,817	6,247	35,690	45,754	47,530	24,762	6,014	78,306	140,738
2014/15	932		1,618	2,417	4,968	2,587	3,040	3,801	9,428	4,406	8,183	38,935	51,524	37,455	27,124	8,895	73,473	139,393
2017/18	79,215	50,131	82,891	212,237	78,866	105,652	121,341	305,859	104,051	108,588	65,584	278,223	46,496	30,829	NA		77,325	873,643
2016/17	66,737	34,928	79,315	180,980	66,343	93,798	85,089	245,231	102,496	77,418	36,254	216,168	39,182	38,732	50,668	128,582	770,961
2015/16	25,326	35,912	37,113	98,351	48,691	71,318	83,675	203,684	68,323	47,778	31,993	148,095	32,293	39,198	31,741	103,231	553,362
2014/15	68,604	45,823	61,320	175,746	47,368	43,817	118,856	210,040	49,221	81,862	24,958	156,042	16,591	26,066	28,975	71,633	613,461
2017/18	1,353	867		1,054	3,273	1,323	1,243	1,822	4,389	1,525	1,470	1,319	4,314	1,077	NA		NA		1,077	13,052
2016/17	1,021	1,257	998		3,276	808		706		619		2,134	698		673		714		2,085	755		728		915		2,399	9,894
2015/16	546		516		491		1,553	599		856		606		2,061	791		499		1,340	2,630	562		721		521		1,805	8,048
2014/15	839		557		465		1,860	505		583		573		1,661	601		577		408		1,586	398		493		581		1,473	6,579
